index,b1,b2,cb1,cb2,r1,r2,db,dc,dr,Lb,Lc,Lr
D4000,3750,3950,4050,4250,0,0,200,200,0,3850,4150,0
B4000,3750,3950,4050,4250,0,0,200,200,0,3850,4150,0
Dn4000,3850,3950,4000,4100,0,0,100,100,0,3900,4050,0
HdA,4041.6,4079.75,4083.5,4122.25,4128.5,4161,38.1500000000001,38.75,32.5,4060.675,4102.875,4144.75
HdF,4057.25,4088.5,4091,4112.25,4114.75,4137.25,31.25,21.25,22.5,4072.875,4101.625,4126
CN1,4080.125,4117.625,4142.125,4177.125,4244.125,4284.125,37.5,35,40,4098.875,4159.625,4264.125
CN2,4083.875,4096.375,4142.125,4177.125,4244.125,4284.125,12.5,35,40,4090.125,4159.625,4264.125
Ca4227,4211,4219.75,4222.25,4234.75,4241,4251,8.75,12.5,10,4215.375,4228.5,4246
G4300,4266.375,4282.625,4281.375,4316.375,4318.875,4335.125,16.25,35,16.25,4274.5,4298.875,4327
HgA,4283.5,4319.75,4319.75,4363.5,4367.25,4419.75,36.25,43.75,52.5,4301.625,4341.625,4393.5
HgF,4283.5,4319.75,4331.25,4352.25,4354.75,4384.75,36.25,21,30,4301.625,4341.75,4369.75
HgVA125,4330,4340.468,4333,4352.737,4359.25,4368.75,10.4679999999998,19.7370000000001,9.5,4335.234,4342.8685,4364
HgVA200,4331,4340.75,4332,4352.25,4359.25,4368.75,9.75,20.25,9.5,4335.875,4342.125,4364
HgVA275,4331.5,4341,4331.5,4351.875,4359.25,4368.75,9.5,20.375,9.5,4336.25,4341.6875,4364
Fe4383,4359.125,4370.375,4369.125,4420.375,4442.875,4455.375,11.25,51.25,12.5,4364.75,4394.75,4449.125
Ca4455,4445.875,4454.625,4452.125,4474.625,4477.125,4492.125,8.75,22.5,15,4450.25,4463.375,4484.625
Fe4531,4504.25,4514.25,4514.25,4559.25,4560.5,4579.25,10,45,18.75,4509.25,4536.75,4569.875
C4668,4611.5,4630.25,4634,4720.25,4742.75,4756.5,18.75,86.25,13.75,4620.875,4677.125,4749.625
Hb,4827.875,4847.875,4847.875,4876.625,4876.625,4891.625,20,28.75,15,4837.875,4862.25,4884.125
Hbeta_p,4815,4845,4851.32,4871.32,4880,4930,30,20,50,4830,4861.32,4905
OIII_1,4885,4935,4948.92,4978.92,5030,5070,50,30,40,4910,4963.92,5050
OIII_2,4885,4935,4996.85,5016.85,5030,5070,50,20,40,4910,5006.85,5050
OIII_2ne,4998,5004,5004,5009.5,5009.5,5017,6,5.5,7.5,5001,5006.75,5013.25
Fe5015,4946.5,4977.75,4977.75,5054,5054,5065.25,31.25,76.25,11.25,4962.125,5015.875,5059.625
Mg1,4895.125,4957.625,5069.125,5134.125,5301.125,5366.125,62.5,65,65,4926.375,5101.625,5333.625
Mg2,4895.125,4957.625,5154.125,5196.625,5301.125,5366.125,62.5,42.5,65,4926.375,5175.375,5333.625
Mgb,5142.625,5161.375,5160.125,5192.625,5191.375,5206.375,18.75,32.5,15,5152,5176.375,5198.875
Fe5270,5233.15,5248.15,5245.65,5285.65,5285.65,5318.15,15,40,32.5,5240.65,5265.65,5301.9
Fe5335,5304.625,5315.875,5312.125,5352.125,5353.375,5363.375,11.25,40,10,5310.25,5332.125,5358.375
Fe5406,5376.25,5387.5,5387.5,5415,5415,5425,11.25,27.5,10,5381.875,5401.25,5420
Fe5709,5672.875,5696.625,5696.625,5720.375,5722.875,5736.625,23.75,23.75,13.75,5684.75,5708.5,5729.75
Fe5782,5765.375,5775.375,5776.625,5796.625,5797.875,5811.625,10,20,13.75,5770.375,5786.625,5804.75
NaD,5860.625,5875.625,5876.875,5909.375,5922.125,5948.125,15,32.5,26,5868.125,5893.125,5935.125
TiO1,5816.625,5849.125,5936.625,5994.125,6038.625,6103.625,32.5,57.5,65,5832.875,5965.375,6071.125
TiO2,6066.625,6141.625,6189.625,6272.125,6372.625,6415.125,75,82.5,42.5,6104.125,6230.875,6393.875
